Gender,Age,Annual_Income,Income_Type,Employment_Status,Education,Credit_History,Approved
Male,29,34627,Pensioner,Employed,Higher Education,Good,1
Male,65,76822,State Servant,Employed,Incomplete Higher,Good,1
Male,50,70798,State Servant,Unemployed,Lower Secondary,Bad,0
Male,62,90318,Commercial Associate,Employed,Lower Secondary,Good,1
Female,43,119186,State Servant,Unemployed,Lower Secondary,Good,1
Female,56,102902,State Servant,Unemployed,Higher Education,Bad,0
Female,45,174629,Working,Employed,Academic Degree,Bad,0
Female,22,86334,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Male,25,121719,Pensioner,Unemployed,Academic Degree,Bad,0
Male,42,138099,Commercial Associate,Employed,Higher Education,Good,1
Female,44,27720,Working,Employed,Lower Secondary,Good,1
Male,63,72608,State Servant,Unemployed,Academic Degree,Good,0
Female,40,122449,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,47,117828,Commercial Associate,Unemployed,Lower Secondary,Good,1
Female,62,141613,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,64,87095,Commercial Associate,Employed,Incomplete Higher,Good,1
Female,40,120924,Pensioner,Unemployed,Secondary / Secondary Special,Bad,0
Female,66,111452,Commercial Associate,Employed,Lower Secondary,Bad,0
Female,64,102593,Commercial Associate,Unemployed,Incomplete Higher,Bad,0
Male,37,121975,Commercial Associate,Employed,Lower Secondary,Good,1
Male,35,92242,State Servant,Unemployed,Lower Secondary,Good,1
Female,35,131041,Pensioner,Employed,Incomplete Higher,Good,1
Male,19,141202,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Male,21,92606,State Servant,Employed,Higher Education,Good,1
Male,47,138769,State Servant,Employed,Higher Education,Good,1
Male,50,133542,State Servant,Unemployed,Higher Education,Good,1
Male,53,121438,Working,Employed,Higher Education,Good,1
Male,35,15924,Commercial Associate,Employed,Academic Degree,Good,1
Male,54,66322,Commercial Associate,Unemployed,Higher Education,Good,1
Male,36,172550,Pensioner,Employed,Incomplete Higher,Good,1
Male,64,86042,Commercial Associate,Employed,Higher Education,Good,1
Male,45,61418,Working,Employed,Lower Secondary,Good,1
Female,57,115699,State Servant,Unemployed,Higher Education,Good,1
Female,37,105140,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Male,66,26781,Pensioner,Unemployed,Incomplete Higher,Good,1
Female,50,151587,Commercial Associate,Unemployed,Incomplete Higher,Bad,0
Female,29,132358,Pensioner,Unemployed,Academic Degree,Bad,0
Male,68,51133,State Servant,Employed,Lower Secondary,Good,1
Male,32,112628,Pensioner,Employed,Incomplete Higher,Good,1
Male,58,91946,State Servant,Unemployed,Secondary / Secondary Special,Good,1
Female,56,100058,Working,Employed,Higher Education,Good,1
Female,19,155167,Working,Employed,Incomplete Higher,Good,1
Male,46,166542,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,58,58129,Commercial Associate,Employed,Higher Education,Good,1
Male,27,23531,Pensioner,Unemployed,Academic Degree,Bad,0
Female,19,52038,Commercial Associate,Unemployed,Incomplete Higher,Bad,0
Female,68,102939,Pensioner,Employed,Incomplete Higher,Good,1
Female,28,57674,Working,Employed,Secondary / Secondary Special,Good,1
Female,30,142572,Working,Unemployed,Lower Secondary,Good,1
Male,27,44831,Working,Employed,Academic Degree,Good,1
Male,31,72174,Pensioner,Employed,Lower Secondary,Bad,0
Male,35,26279,Working,Employed,Incomplete Higher,Good,1
Male,68,75610,Working,Unemployed,Lower Secondary,Good,1
Female,71,68051,Working,Unemployed,Higher Education,Bad,0
Female,26,71652,Working,Employed,Academic Degree,Bad,0
Male,74,80524,Commercial Associate,Employed,Lower Secondary,Bad,0
Male,56,21470,Working,Employed,Higher Education,Good,1
Female,45,68473,Working,Employed,Secondary / Secondary Special,Good,1
Male,20,165952,Commercial Associate,Employed,Lower Secondary,Good,1
Female,37,59439,Commercial Associate,Employed,Academic Degree,Good,1
Male,23,29308,Pensioner,Unemployed,Higher Education,Bad,0
Male,44,106563,State Servant,Unemployed,Lower Secondary,Good,0
Male,70,50081,Working,Employed,Secondary / Secondary Special,Bad,0
Male,19,24837,Working,Unemployed,Lower Secondary,Good,0
Male,46,133128,Working,Employed,Higher Education,Bad,0
Male,55,179145,Pensioner,Employed,Lower Secondary,Good,1
Male,20,127651,Working,Unemployed,Academic Degree,Bad,0
Female,33,112624,State Servant,Unemployed,Incomplete Higher,Good,1
Female,47,172371,Commercial Associate,Employed,Higher Education,Good,1
Female,57,45063,Pensioner,Employed,Higher Education,Bad,0
Female,19,84453,Commercial Associate,Unemployed,Higher Education,Good,1
Female,34,117166,Working,Unemployed,Higher Education,Good,1
Male,58,29506,Working,Employed,Lower Secondary,Bad,0
Male,29,128604,Working,Employed,Academic Degree,Good,1
Female,52,41026,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,60,173744,State Servant,Unemployed,Academic Degree,Good,1
Female,18,67413,Pensioner,Employed,Higher Education,Bad,0
Female,72,80066,Commercial Associate,Unemployed,Lower Secondary,Good,1
Male,62,65971,Working,Employed,Lower Secondary,Good,1
Male,32,173353,Working,Unemployed,Higher Education,Good,1
Male,43,128978,Working,Unemployed,Lower Secondary,Good,1
Female,54,174163,Working,Unemployed,Higher Education,Good,1
Male,38,65494,State Servant,Unemployed,Academic Degree,Good,0
Female,66,118864,Commercial Associate,Employed,Incomplete Higher,Good,1
Female,48,164682,Commercial Associate,Unemployed,Lower Secondary,Good,1
Female,42,147151,Pensioner,Unemployed,Higher Education,Good,1
Male,40,110386,State Servant,Unemployed,Higher Education,Good,1
Male,41,101126,Working,Employed,Lower Secondary,Good,1
Female,74,177023,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Male,55,95863,Commercial Associate,Employed,Higher Education,Good,1
Male,45,93291,State Servant,Employed,Lower Secondary,Good,1
Male,38,140659,Pensioner,Employed,Higher Education,Good,1
Female,71,22235,Pensioner,Employed,Secondary / Secondary Special,Good,1
Female,60,97733,Working,Unemployed,Incomplete Higher,Good,0
Male,35,77712,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,53,167545,Commercial Associate,Unemployed,Academic Degree,Good,1
Male,52,140849,Pensioner,Employed,Lower Secondary,Good,1
Male,62,94823,Working,Unemployed,Secondary / Secondary Special,Bad,0
Male,72,119215,Commercial Associate,Unemployed,Incomplete Higher,Good,0
Male,26,47230,Pensioner,Employed,Higher Education,Good,1
Female,70,99573,Pensioner,Unemployed,Lower Secondary,Good,1
Female,55,55644,State Servant,Employed,Secondary / Secondary Special,Good,1
Female,47,60203,Working,Unemployed,Incomplete Higher,Good,1
Male,61,81677,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,51,171497,State Servant,Employed,Academic Degree,Bad,1
Male,49,138246,Commercial Associate,Employed,Lower Secondary,Good,1
Female,20,99817,State Servant,Unemployed,Higher Education,Good,1
Male,20,84806,State Servant,Unemployed,Incomplete Higher,Good,1
Female,45,57814,Pensioner,Employed,Secondary / Secondary Special,Good,1
Female,61,85219,Pensioner,Employed,Lower Secondary,Good,1
Female,32,110345,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,58,115088,State Servant,Unemployed,Lower Secondary,Good,0
Female,40,84322,Commercial Associate,Employed,Academic Degree,Good,1
Female,57,36650,Working,Unemployed,Secondary / Secondary Special,Bad,0
Male,28,109242,State Servant,Unemployed,Academic Degree,Good,1
Male,65,155262,Pensioner,Unemployed,Incomplete Higher,Bad,0
Female,49,53196,Working,Employed,Academic Degree,Good,1
Female,74,44709,Commercial Associate,Employed,Lower Secondary,Good,1
Male,71,95428,Working,Unemployed,Incomplete Higher,Bad,0
Female,53,24943,Pensioner,Employed,Secondary / Secondary Special,Good,1
Female,50,36042,State Servant,Unemployed,Secondary / Secondary Special,Bad,0
Male,41,58894,State Servant,Unemployed,Lower Secondary,Good,1
Female,56,152941,Pensioner,Employed,Higher Education,Good,1
Female,51,71759,State Servant,Employed,Higher Education,Good,1
Female,73,120973,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,45,59306,State Servant,Unemployed,Lower Secondary,Bad,0
Male,54,123369,State Servant,Unemployed,Higher Education,Bad,0
Male,24,166990,State Servant,Employed,Academic Degree,Good,1
Female,21,43379,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Female,54,135667,Commercial Associate,Employed,Academic Degree,Good,1
Male,73,149034,Pensioner,Unemployed,Lower Secondary,Good,1
Female,18,159923,Commercial Associate,Unemployed,Academic Degree,Good,1
Female,18,132626,Pensioner,Unemployed,Higher Education,Good,1
Female,64,140180,Working,Employed,Higher Education,Good,1
Female,37,67349,Working,Employed,Incomplete Higher,Good,1
Female,36,160817,Commercial Associate,Unemployed,Secondary / Secondary Special,Bad,0
Male,46,20730,Working,Employed,Lower Secondary,Bad,0
Female,27,159993,Working,Employed,Secondary / Secondary Special,Bad,0
Male,35,34023,State Servant,Employed,Academic Degree,Bad,0
Female,45,141796,State Servant,Employed,Lower Secondary,Good,1
Male,52,96533,Pensioner,Unemployed,Lower Secondary,Good,1
Female,60,98286,Working,Employed,Higher Education,Good,1
Male,64,56979,Pensioner,Unemployed,Academic Degree,Bad,0
Female,48,37837,Pensioner,Unemployed,Higher Education,Bad,0
Male,44,161069,Working,Employed,Higher Education,Good,1
Female,28,119975,Commercial Associate,Unemployed,Incomplete Higher,Bad,0
Male,66,35923,Working,Unemployed,Higher Education,Good,1
Female,66,23876,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,55,75973,Working,Unemployed,Lower Secondary,Good,1
Male,22,148959,Commercial Associate,Unemployed,Higher Education,Good,1
Female,25,57422,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,51,66413,Pensioner,Unemployed,Academic Degree,Good,1
Male,65,117484,State Servant,Unemployed,Lower Secondary,Good,1
Female,69,148913,State Servant,Unemployed,Academic Degree,Good,1
Male,73,43756,State Servant,Unemployed,Secondary / Secondary Special,Good,0
Male,29,86576,Pensioner,Unemployed,Academic Degree,Good,1
Male,55,133248,State Servant,Employed,Academic Degree,Good,1
Female,18,25304,Working,Employed,Academic Degree,Good,1
Male,48,45341,Pensioner,Employed,Higher Education,Good,1
Male,21,150830,Commercial Associate,Unemployed,Higher Education,Bad,0
Female,66,163082,Pensioner,Unemployed,Higher Education,Good,1
Female,62,142039,Working,Unemployed,Lower Secondary,Good,1
Female,67,177730,Working,Employed,Secondary / Secondary Special,Bad,0
Female,22,147447,State Servant,Employed,Higher Education,Bad,0
Male,47,114485,Pensioner,Employed,Academic Degree,Bad,0
Male,73,37092,Pensioner,Unemployed,Academic Degree,Good,1
Male,41,146562,Pensioner,Employed,Academic Degree,Good,1
Male,20,18729,Commercial Associate,Employed,Academic Degree,Good,1
Female,28,152046,State Servant,Unemployed,Incomplete Higher,Good,1
Male,62,133222,Working,Employed,Lower Secondary,Bad,0
Male,21,100216,Working,Unemployed,Secondary / Secondary Special,Good,1
Female,43,98860,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,44,111870,Working,Unemployed,Higher Education,Good,1
Male,63,36398,Working,Unemployed,Incomplete Higher,Good,0
Male,71,49650,State Servant,Unemployed,Secondary / Secondary Special,Good,0
Male,60,167364,Working,Unemployed,Lower Secondary,Good,1
Male,44,118889,Pensioner,Unemployed,Academic Degree,Bad,0
Male,59,18159,Commercial Associate,Employed,Higher Education,Bad,0
Female,68,113162,State Servant,Unemployed,Lower Secondary,Good,1
Female,67,117834,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,1
Male,23,163137,Working,Unemployed,Incomplete Higher,Good,1
Male,32,36638,Working,Unemployed,Higher Education,Good,1
Female,70,16073,Pensioner,Employed,Secondary / Secondary Special,Bad,0
Male,47,44320,State Servant,Unemployed,Higher Education,Good,1
Male,59,49924,Working,Employed,Secondary / Secondary Special,Good,1
Male,54,83116,State Servant,Unemployed,Academic Degree,Good,1
Female,54,17159,State Servant,Unemployed,Incomplete Higher,Good,0
Male,59,63940,State Servant,Employed,Academic Degree,Good,1
Female,54,94436,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,52,29678,State Servant,Employed,Lower Secondary,Good,1
Female,40,158093,Commercial Associate,Unemployed,Academic Degree,Good,1
Female,23,152844,Pensioner,Employed,Lower Secondary,Good,1
Male,21,82163,State Servant,Unemployed,Secondary / Secondary Special,Bad,0
Female,35,169536,Commercial Associate,Employed,Incomplete Higher,Good,1
Male,26,66137,Working,Employed,Lower Secondary,Good,1
Female,66,176304,State Servant,Unemployed,Secondary / Secondary Special,Good,1
Male,46,76497,Working,Employed,Lower Secondary,Good,1
Male,30,115485,State Servant,Employed,Academic Degree,Bad,0
Female,64,120468,Commercial Associate,Unemployed,Secondary / Secondary Special,Bad,0
Male,69,15901,Commercial Associate,Unemployed,Academic Degree,Good,1
Male,34,102980,Commercial Associate,Unemployed,Higher Education,Good,1
Female,62,122594,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,49,17881,Working,Employed,Lower Secondary,Good,1
Male,65,44863,Pensioner,Employed,Higher Education,Good,1
Female,39,151694,State Servant,Employed,Academic Degree,Bad,1
Female,21,147450,Working,Employed,Academic Degree,Good,1
Male,22,60201,Commercial Associate,Unemployed,Lower Secondary,Good,0
Male,54,74251,Working,Employed,Higher Education,Good,1
Female,58,87572,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Female,66,54255,Pensioner,Employed,Lower Secondary,Good,1
Male,30,78212,Pensioner,Unemployed,Academic Degree,Good,1
Female,51,65210,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Male,62,140629,Commercial Associate,Employed,Higher Education,Good,1
Male,39,37499,State Servant,Unemployed,Incomplete Higher,Good,0
Male,70,117552,Pensioner,Employed,Secondary / Secondary Special,Bad,0
Male,40,76360,Pensioner,Unemployed,Higher Education,Good,1
Male,68,150675,State Servant,Employed,Lower Secondary,Good,1
Female,20,142466,Pensioner,Employed,Lower Secondary,Good,1
Female,59,100473,Commercial Associate,Unemployed,Higher Education,Good,1
Female,51,158704,Working,Employed,Incomplete Higher,Good,1
Female,49,176679,Working,Unemployed,Higher Education,Good,1
Male,62,106873,Pensioner,Employed,Secondary / Secondary Special,Bad,0
Male,68,80756,State Servant,Employed,Secondary / Secondary Special,Bad,0
Male,66,71344,Commercial Associate,Employed,Lower Secondary,Good,1
Male,38,153421,Working,Employed,Higher Education,Good,1
Female,63,86154,Commercial Associate,Employed,Lower Secondary,Good,1
Male,61,42464,Pensioner,Employed,Incomplete Higher,Good,1
Male,38,136897,Pensioner,Employed,Secondary / Secondary Special,Good,1
Female,61,52344,Working,Unemployed,Academic Degree,Good,1
Female,28,98791,Pensioner,Employed,Academic Degree,Good,1
Female,56,170371,State Servant,Employed,Higher Education,Bad,0
Female,21,147534,Pensioner,Employed,Higher Education,Good,1
Male,68,135209,Pensioner,Unemployed,Academic Degree,Bad,0
Male,18,96441,Pensioner,Unemployed,Higher Education,Good,1
Female,45,105456,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Male,41,96788,Commercial Associate,Employed,Incomplete Higher,Good,1
Male,52,29175,Working,Employed,Incomplete Higher,Good,1
Male,30,152263,Working,Unemployed,Lower Secondary,Good,1
Female,64,98434,Working,Employed,Secondary / Secondary Special,Good,1
Male,51,99518,Pensioner,Unemployed,Higher Education,Good,1
Female,28,81537,Commercial Associate,Employed,Higher Education,Bad,0
Male,53,130721,State Servant,Unemployed,Lower Secondary,Good,1
Male,68,62645,Pensioner,Unemployed,Lower Secondary,Good,1
Male,34,38283,Pensioner,Employed,Higher Education,Good,1
Female,52,101971,Pensioner,Employed,Higher Education,Good,1
Male,35,107759,State Servant,Employed,Secondary / Secondary Special,Good,1
Female,57,117780,Working,Employed,Lower Secondary,Good,1
Female,39,176096,State Servant,Employed,Secondary / Secondary Special,Good,1
Female,74,45734,Working,Employed,Higher Education,Bad,0
Male,41,15515,State Servant,Employed,Academic Degree,Good,1
Male,36,125782,Commercial Associate,Unemployed,Academic Degree,Good,1
Male,54,81727,Pensioner,Employed,Higher Education,Good,1
Male,56,124164,Pensioner,Employed,Lower Secondary,Bad,0
Female,38,61216,Pensioner,Unemployed,Academic Degree,Bad,0
Female,25,86833,Working,Employed,Lower Secondary,Good,1
Female,45,73755,State Servant,Employed,Academic Degree,Good,1
Male,22,42856,Commercial Associate,Employed,Lower Secondary,Good,1
Female,34,88870,State Servant,Employed,Academic Degree,Bad,0
Male,54,170234,Pensioner,Unemployed,Lower Secondary,Good,1
Female,53,152080,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,1
Male,71,22987,Commercial Associate,Employed,Lower Secondary,Bad,0
Male,36,111502,Pensioner,Employed,Secondary / Secondary Special,Good,1
Female,44,149404,State Servant,Unemployed,Secondary / Secondary Special,Bad,0
Female,70,81323,Pensioner,Employed,Higher Education,Good,1
Female,51,24873,State Servant,Unemployed,Secondary / Secondary Special,Good,1
Female,28,120219,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Male,71,20033,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,0
Female,62,88324,Pensioner,Employed,Lower Secondary,Good,1
Female,64,30689,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Female,29,124756,Working,Employed,Lower Secondary,Good,1
Male,71,15066,Commercial Associate,Unemployed,Lower Secondary,Good,0
Male,38,129159,Working,Employed,Incomplete Higher,Good,1
Female,71,22533,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Male,28,130828,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,56,74658,Pensioner,Employed,Academic Degree,Good,1
Male,45,53498,Working,Employed,Academic Degree,Good,1
Male,22,124028,Pensioner,Employed,Higher Education,Good,1
Male,34,26772,Commercial Associate,Unemployed,Lower Secondary,Bad,0
Male,73,104385,Commercial Associate,Employed,Incomplete Higher,Bad,0
Female,37,27940,Pensioner,Unemployed,Academic Degree,Good,1
Female,58,133027,Commercial Associate,Unemployed,Secondary / Secondary Special,Bad,0
Female,63,31932,State Servant,Unemployed,Higher Education,Bad,0
Male,29,39648,State Servant,Employed,Incomplete Higher,Bad,0
Female,23,47966,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Female,34,173849,Pensioner,Employed,Secondary / Secondary Special,Good,1
Female,68,178639,Working,Unemployed,Lower Secondary,Good,1
Male,36,163246,Pensioner,Unemployed,Lower Secondary,Good,1
Male,43,57598,Working,Employed,Academic Degree,Good,1
Male,65,159870,Pensioner,Unemployed,Academic Degree,Good,1
Female,61,163630,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Female,61,76084,State Servant,Employed,Secondary / Secondary Special,Good,1
Female,69,146250,Pensioner,Employed,Academic Degree,Good,1
Male,49,32118,Working,Employed,Academic Degree,Good,1
Male,23,37616,State Servant,Employed,Secondary / Secondary Special,Bad,0
Female,72,146870,Working,Employed,Incomplete Higher,Good,1
Male,53,22601,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Male,55,40363,State Servant,Unemployed,Incomplete Higher,Good,0
Male,28,17795,Working,Employed,Incomplete Higher,Good,1
Male,50,112462,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,41,117892,Commercial Associate,Unemployed,Higher Education,Bad,0
Male,40,87833,Commercial Associate,Employed,Academic Degree,Good,1
Male,32,18084,Commercial Associate,Unemployed,Lower Secondary,Good,0
Male,44,110865,Pensioner,Unemployed,Secondary / Secondary Special,Bad,0
Male,28,15731,Pensioner,Unemployed,Incomplete Higher,Good,1
Female,74,147201,State Servant,Employed,Secondary / Secondary Special,Good,1
Female,68,174094,Pensioner,Employed,Academic Degree,Good,1
Male,67,16605,State Servant,Employed,Incomplete Higher,Good,1
Male,34,92506,Commercial Associate,Employed,Lower Secondary,Good,1
Male,68,59130,State Servant,Employed,Lower Secondary,Good,1
Male,70,175337,Working,Unemployed,Lower Secondary,Good,1
Male,31,178402,Commercial Associate,Unemployed,Higher Education,Bad,0
Male,44,83469,Commercial Associate,Employed,Incomplete Higher,Good,1
Female,35,161259,State Servant,Unemployed,Incomplete Higher,Bad,0
Male,45,171863,Commercial Associate,Unemployed,Higher Education,Good,1
Female,68,105436,Pensioner,Unemployed,Incomplete Higher,Good,1
Female,64,127341,Working,Unemployed,Higher Education,Good,1
Male,64,146965,State Servant,Employed,Secondary / Secondary Special,Good,1
Female,21,114694,State Servant,Employed,Academic Degree,Good,1
Female,24,34773,Commercial Associate,Employed,Lower Secondary,Good,1
Female,62,19239,Pensioner,Unemployed,Higher Education,Bad,0
Female,52,35863,Commercial Associate,Unemployed,Higher Education,Good,1
Female,65,66415,Commercial Associate,Employed,Higher Education,Good,1
Female,26,83968,State Servant,Employed,Secondary / Secondary Special,Bad,0
Male,25,75430,Commercial Associate,Unemployed,Higher Education,Good,1
Female,69,16515,Working,Employed,Academic Degree,Good,1
Female,62,112206,Commercial Associate,Employed,Academic Degree,Good,1
Female,34,160677,Commercial Associate,Unemployed,Lower Secondary,Good,1
Male,34,71240,State Servant,Unemployed,Secondary / Secondary Special,Good,0
Female,66,20586,Commercial Associate,Employed,Academic Degree,Good,1
Male,50,135419,Pensioner,Unemployed,Incomplete Higher,Good,1
Female,49,137374,State Servant,Employed,Incomplete Higher,Good,1
Male,25,46186,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Male,36,41928,Working,Unemployed,Higher Education,Bad,0
Female,55,137990,Working,Employed,Higher Education,Bad,1
Female,20,102029,State Servant,Unemployed,Incomplete Higher,Good,1
Male,22,35711,State Servant,Employed,Lower Secondary,Good,1
Female,30,69962,Commercial Associate,Unemployed,Lower Secondary,Bad,0
Male,64,35039,Pensioner,Employed,Higher Education,Good,1
Male,63,51561,Commercial Associate,Unemployed,Incomplete Higher,Good,0
Male,48,16577,Working,Unemployed,Lower Secondary,Good,0
Male,72,122792,Pensioner,Employed,Higher Education,Bad,0
Male,33,174422,Pensioner,Unemployed,Incomplete Higher,Good,1
Female,67,179870,Pensioner,Employed,Secondary / Secondary Special,Bad,0
Male,49,25785,Commercial Associate,Unemployed,Incomplete Higher,Good,0
Male,39,87227,Working,Unemployed,Incomplete Higher,Good,0
Female,46,133680,State Servant,Employed,Academic Degree,Good,1
Male,39,76957,Commercial Associate,Unemployed,Academic Degree,Good,1
Female,60,80431,State Servant,Unemployed,Secondary / Secondary Special,Bad,0
Female,20,163369,Pensioner,Employed,Secondary / Secondary Special,Bad,0
Female,71,86894,Pensioner,Unemployed,Incomplete Higher,Good,1
Male,27,165653,Commercial Associate,Employed,Lower Secondary,Bad,0
Male,59,70192,Working,Employed,Secondary / Secondary Special,Bad,0
Male,38,16462,Pensioner,Employed,Incomplete Higher,Good,1
Female,33,143848,State Servant,Unemployed,Higher Education,Good,1
Male,29,161583,State Servant,Unemployed,Academic Degree,Good,1
Female,19,91106,Commercial Associate,Employed,Lower Secondary,Good,1
Male,58,63665,State Servant,Unemployed,Incomplete Higher,Good,0
Female,41,96010,Working,Employed,Higher Education,Good,1
Male,52,87573,Pensioner,Unemployed,Academic Degree,Good,1
Male,73,122803,State Servant,Employed,Higher Education,Bad,0
Male,47,134682,State Servant,Employed,Incomplete Higher,Bad,0
Female,74,28386,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,47,139069,Commercial Associate,Employed,Academic Degree,Good,1
Male,64,69460,State Servant,Employed,Higher Education,Good,1
Male,52,152293,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,1
Female,36,169546,Commercial Associate,Employed,Lower Secondary,Good,1
Female,67,130375,State Servant,Employed,Incomplete Higher,Good,1
Female,25,127660,Working,Unemployed,Incomplete Higher,Good,1
Male,43,167117,Commercial Associate,Employed,Academic Degree,Good,1
Female,66,106319,State Servant,Employed,Higher Education,Good,1
Male,57,131582,Commercial Associate,Employed,Lower Secondary,Good,1
Female,24,150994,Pensioner,Employed,Academic Degree,Bad,1
Male,47,168778,Working,Employed,Academic Degree,Bad,0
Female,24,57771,Working,Employed,Higher Education,Good,1
Female,20,67335,Pensioner,Employed,Lower Secondary,Good,1
Female,18,67949,Pensioner,Employed,Higher Education,Good,1
Female,53,110558,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Female,42,161312,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,54,117272,Working,Employed,Incomplete Higher,Good,1
Female,18,17716,Pensioner,Unemployed,Incomplete Higher,Bad,0
Female,32,162646,State Servant,Employed,Academic Degree,Good,1
Female,54,166285,State Servant,Employed,Incomplete Higher,Bad,0
Male,30,86916,Commercial Associate,Employed,Lower Secondary,Good,1
Female,57,65906,Working,Employed,Incomplete Higher,Good,1
Male,25,15463,State Servant,Employed,Lower Secondary,Good,1
Female,22,178045,Pensioner,Employed,Higher Education,Good,1
Female,26,89694,State Servant,Unemployed,Academic Degree,Good,1
Male,18,166723,State Servant,Unemployed,Lower Secondary,Good,1
Female,53,83694,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Male,52,35008,Pensioner,Unemployed,Academic Degree,Good,1
Male,19,85474,Pensioner,Unemployed,Academic Degree,Good,1
Female,57,53185,Pensioner,Employed,Lower Secondary,Bad,0
Male,40,102924,Commercial Associate,Employed,Lower Secondary,Good,1
Female,26,49980,Pensioner,Employed,Secondary / Secondary Special,Good,1
Female,51,37504,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,63,69970,State Servant,Employed,Academic Degree,Bad,0
Male,31,31766,State Servant,Unemployed,Secondary / Secondary Special,Good,0
Male,21,131944,Pensioner,Unemployed,Incomplete Higher,Good,1
Male,47,108922,Working,Employed,Higher Education,Good,1
Female,48,157767,Working,Employed,Academic Degree,Good,1
Female,55,163868,Pensioner,Employed,Higher Education,Good,1
Male,28,160631,Working,Unemployed,Secondary / Secondary Special,Bad,0
Female,52,179211,Commercial Associate,Unemployed,Lower Secondary,Bad,0
Female,25,135494,State Servant,Employed,Academic Degree,Good,1
Female,20,23802,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,0
Female,31,49159,State Servant,Employed,Incomplete Higher,Good,1
Male,30,26516,Working,Unemployed,Academic Degree,Good,1
Male,62,65492,Working,Unemployed,Academic Degree,Bad,0
Female,49,44086,Pensioner,Employed,Lower Secondary,Good,1
Male,51,128758,Working,Unemployed,Academic Degree,Good,1
Male,62,45480,Working,Unemployed,Lower Secondary,Good,0
Male,36,143023,Pensioner,Employed,Secondary / Secondary Special,Bad,0
Female,55,125195,Pensioner,Unemployed,Incomplete Higher,Good,1
Female,33,53737,State Servant,Employed,Incomplete Higher,Good,1
Female,19,24265,Working,Unemployed,Academic Degree,Good,0
Male,57,129165,State Servant,Employed,Academic Degree,Good,1
Female,34,134501,State Servant,Employed,Secondary / Secondary Special,Bad,1
Female,72,85990,Commercial Associate,Unemployed,Lower Secondary,Good,0
Male,51,30386,Working,Unemployed,Incomplete Higher,Good,0
Female,59,119718,Working,Employed,Lower Secondary,Good,1
Female,33,52425,Commercial Associate,Unemployed,Secondary / Secondary Special,Bad,0
Male,55,136635,State Servant,Unemployed,Incomplete Higher,Good,1
Male,19,68634,Working,Unemployed,Incomplete Higher,Good,0
Male,19,101988,State Servant,Employed,Higher Education,Good,1
Female,43,121337,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Female,30,156215,Pensioner,Employed,Secondary / Secondary Special,Good,1
Female,73,161653,State Servant,Unemployed,Higher Education,Bad,0
Male,64,82443,Working,Unemployed,Lower Secondary,Good,1
Male,48,44424,Pensioner,Employed,Higher Education,Good,1
Female,51,103844,State Servant,Employed,Secondary / Secondary Special,Bad,0
Female,56,56984,State Servant,Unemployed,Lower Secondary,Good,0
Male,20,56505,Pensioner,Unemployed,Incomplete Higher,Good,1
Male,25,117478,Pensioner,Unemployed,Higher Education,Good,1
Male,40,77699,Pensioner,Unemployed,Lower Secondary,Good,1
Male,31,173029,Working,Employed,Lower Secondary,Good,1
